         6576 function calls (6569 primitive calls) in 30.392 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7febbbe561f0}
        4    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/bin/../lib/python3.8/posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        5    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        9    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/_utils.py:141(__setitem__)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       46    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       17    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        5    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/click/globals.py:38(resolve_color_default)
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/jinja2/environment.py:83(create_cache)
       62    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:347(__init__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:234(register)
      3/1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:887(createLock)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1677(isEnabledFor)
       15    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/enum.py:828(__and__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        2    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:364(notify_all)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:629(usesTime)
    50/47    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/_internal.py:75(_has_level_handler)
        5    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/click/globals.py:6(get_current_context)
        4    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/bin/../lib/python3.8/genericpath.py:121(_splitext)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:635(formatMessage)
        2    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/click/termui.py:433(style)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/bin/../lib/python3.8/codecs.py:94(__new__)
        3    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:530(clear)
       33    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/jinja2/utils.py:343(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       46    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socketserver.py:469(server_activate)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:202(__exit__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:244(_register_at_fork_reinit_lock)
        2    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/bin/../lib/python3.8/_collections_abc.py:664(__contains__)
        6    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/sre_parse.py:233(__next)
        5    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/sre_parse.py:254(get)
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/click/_compat.py:338(_stream_is_misconfigured)
       10    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/click/_compat.py:285(is_bytes)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:894(acquire)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/_weakrefset.py:38(_remove)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 /Users/adnanbadri/Enviroments/DJANGO/bin/../lib/python3.8/encodings/__init__.py:43(normalize_encoding)
